,data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,Label
94,192,4,175,-0.031733148,0.225232936,0,0,2.357142857,2,0
876,251,0,105.3333333,0.006457574,0.063957569,0,0,1,1.607142857,2
384,445,5,587.8095238,-6.94E-05,0.249497377,1.476190476,0,2,2,1
583,645,2,5097.666667,0.033866549,0.266942502,545.8095238,5.952380952,1,3.357142857,1
45,774,5,160880.7619,-0.033508943,0.260748591,0,345.7142857,1.857142857,1,0
399,447,0,577.0952381,-0.006999918,0.257644687,1.523809524,0,2,2,1
602,644,1,4962.428571,0.036684519,0.269531191,530.9047619,5.761904762,1,3.142857143,1
338,894,6,115046.2857,0.020744972,0.265367877,0,12.47619048,1,1,1
341,832,0,9284.238095,-0.021074991,0.252204169,0,356.5238095,1,1,1
331,745,4,339452.5238,0.017487812,0.200654404,0.095238095,149.5238095,3.80952381,2.714285714,1
909,702,3,20026.42857,0.011624354,0.076280832,28.66666667,819.5238095,4,4,2
518,405,0,568.0952381,0.02984016,0.245074966,0,0,2,2,1
186,937,0,38514.14286,-0.022089175,0.215329025,0,211,1,1,0
714,879,5,75435.19048,0.019924903,0.175780304,0,42.85714286,1,1,2
788,145,6,16.57142857,-0.002021158,0.059180678,0,0,1,1,2
65,21,1,86.33333333,-0.022196499,0.202514129,0,0,2.428571429,3,0
791,486,4,636,0.020785677,0.161288845,68.33333333,0,2,3.571428571,2
951,158,5,20.57142857,0.004426432,0.043080364,0,0,1,1.928571429,2
823,166,6,112.8095238,0.04073583,0.278103664,0,0,1.333333333,2.25,2
22,12,6,274.7142857,-0.048137995,0.330133161,0,0,2,3,0
362,462,1,540.9047619,-0.011185383,0.254868852,2.238095238,0,2,2,1
199,120,2,31.95238095,0.001050014,0.224311854,0,0,1,1,0
628,229,6,66.28571429,0.011753247,0.241622492,0,0,1.380952381,1,1
894,708,2,33731.52381,0.016420059,0.105284373,5.904761905,591.7619048,4,4,2
735,84,1,22.04761905,0.016821274,0.248120991,0,0,1,1,2
393,420,1,620.7142857,-0.009412569,0.295136159,0.285714286,0,2,2,1
594,500,4,1190.47619,0.036091328,0.275497776,202.952381,0,3.047619048,4,1
229,175,1,240.952381,0.034398205,0.277733231,0,0,1.80952381,2.464285714,0
353,330,2,410.4285714,-0.025657381,0.288888592,0,0,2.5,2.428571429,1
17,29,2,59.85714286,-0.024851089,0.229850076,0,0,2.80952381,2.857142857,0
454,409,4,597.7142857,0.02085044,0.269886751,0,0,2,2,1
601,287,1,753.1428571,0.039786,0.273487089,0,0,2.333333333,2.5,1
360,142,3,18.57142857,-0.006746032,0.242570377,0,0,1,1,1
702,52,4,6.80952381,-0.023555755,0.165595904,0,0,2.476190476,1.357142857,2
449,530,6,1675.047619,0.024974522,0.285211441,399.0952381,0,4,4,1
897,858,5,17274.57143,0.017017332,0.121815219,0,92.95238095,1,1,2
