data_num,Week,$\mu^c$,$\beta^c$,$\sigma^c$,$Delta^c$,$Omicron^c$,$Policy^c$,$Policy^p$,RI,label,beta,gamma,R0,Re,growth_rate,doubling_time,sir_fit_r2,sir_residual,sir_rel_residual,Re_trend,peak_estimate,initial_cases,final_cases,case_ratio,sir_reliable
70,1,0.1373,0.0145,0.157,0,0,0.4413,0.5403,0.01686573291498111,2,0.2137,0.1151,1.856,1.856,0.0986,7.0,0.2315,-17.1,-6.0506,0.0359,44.6,2,1,0.503,1
165,5,0.2209,0.0372,0.2609,0,0,0.5284,0.5046,0.01910167398100948,2,0.3347,0.1236,2.707,2.707,0.211,3.3,0.9064,-65.7,-0.2121,0.1388,765.0,5,308,47.509,1
298,5,0.6944,0.0051,0.1494,0,0,0.6528,0.6389,-0.003371133166105064,0,0.1824,0.1788,1.02,1.02,0.0036,191.6,0.0978,21.8,0.0212,-0.0177,1154.8,934,1026,1.097,1
96,6,0.4411,0.0147,0.2439,0,0,0.5333,0.5377,-0.002035118138691677,0,0.2414,0.1165,2.073,2.073,0.1249,5.5,-3.3272,-12.3,-0.2621,-0.0076,98.3,4,45,7.934,0
281,2,0.2725,0.0257,0.1938,0,0,0.6166,0.6452,0.006779089565826109,2,0.0825,0.0491,1.681,1.681,0.0334,20.7,0.8568,-25.4,-0.0314,0.031,1055.5,426,806,1.888,1
388,4,0.2648,0.0055,0.1322,0,0,0.5833,0.5833,0.003502733957373553,2,0.1055,0.1126,0.937,0.937,-0.0071,97.9,-1.0223,108.9,0.2033,0.0117,534.6,490,534,1.088,0
589,2,0.4321,-0.0357,0.2715,1,0,0.4337,0.4252,-0.0008919703291960161,1,0.0755,0.1195,0.632,0.631,-0.044,15.8,0.6858,-243.2,-0.2624,0.01,2818.0,2818,925,0.328,1
479,4,0.1538,0.0087,0.0954,0,0,0.4226,0.4907,0.01107601104223554,2,0.1091,0.1103,0.988,0.988,-0.0013,546.1,-0.3491,198.0,0.2621,0.021,754.4,570,754,1.32,0
294,1,0.6063,0.0222,0.2255,0,0,0.6581,0.6389,-0.001295691823978747,1,0.2342,0.1934,1.211,1.21,0.0407,17.0,-0.5382,-382.3,-0.486,-0.0287,1447.4,517,785,1.516,0
482,0,0.1801,0.0142,0.1129,0,0,0.4213,0.4907,0.01256633832392268,2,0.2068,0.1641,1.26,1.259,0.0426,16.3,0.6738,-105.7,-0.1584,0.028,992.7,329,666,2.018,1
897,2,0.5744,0.0051,0.2415,0,1,0.1389,0.1389,-0.002503498010219222,0,0.0286,0.03,0.955,0.909,-0.0014,513.1,-0.0741,-2465.1,-0.0206,-0.0059,164229.3,125621,119591,0.952,0
265,0,0.2179,0.0226,0.1506,0,0,0.584,0.6197,0.01254663648088274,2,0.2492,0.1543,1.615,1.615,0.095,7.3,0.85,-123.0,-0.286,-0.0277,841.4,82,428,5.13,1
892,4,0.4912,0.0225,0.2694,0,1,0.1389,0.1389,-0.0005332806965253973,1,0.1017,0.0741,1.372,1.311,0.0276,25.1,0.4514,45996.3,0.2429,-0.0367,225918.3,83151,189345,2.277,1
889,1,0.4374,0.0127,0.2112,0,1,0.1389,0.1389,0.001130505201630923,1,0.2093,0.2,1.046,1.003,0.0093,74.7,0.1487,-40861.8,-0.5552,0.0084,157435.6,97494,73599,0.755,1
869,2,0.2311,0.0234,0.1776,0,1,0.1389,0.1389,0.01170744870005795,2,0.2679,0.2,1.339,1.315,0.0679,10.2,0.8559,-1021.5,-0.0127,-0.0496,118556.2,21196,80373,3.792,1
746,5,0.4369,0.0154,0.1978,0,1,0.3968,0.2936,-0.002040566091323786,0,0.2328,0.2,1.164,1.003,0.0328,21.1,0.2467,-29806.5,-0.0759,-0.0532,593370.8,237773,392787,1.652,1
198,3,0.5833,-0.0302,0.2324,0,0,0.554,0.5827,-0.00445397631398997,0,0.0733,0.1261,0.581,0.581,-0.0528,13.1,0.6736,15.0,0.1747,-0.0056,200.5,200,84,0.42,1
63,1,0.1806,0.0212,0.2854,0,0,0.4246,0.5168,0.0193116469533071,2,0.1377,0.0814,1.692,1.692,0.0563,12.3,0.1783,19.1,0.5714,0.5672,45.1,4,32,6.094,1
787,4,0.4993,-0.0338,0.2666,0,1,0.1389,0.1389,-0.00535739266713599,0,0.077,0.1384,0.556,0.541,-0.0614,11.3,0.8623,13332.6,0.2722,-0.0186,122396.5,122396,48975,0.4,1
752,4,0.5071,-0.004,0.1697,0,1,0.3889,0.1905,-0.004274660754565688,0,0.2047,0.2,1.023,0.876,0.0047,148.2,-0.0284,28285.2,0.0756,-0.0384,498254.4,341580,373915,1.095,0
